ds,yhat,yhat_lower,yhat_upper
2025-01-01,159934.28306022467,137954.93169224937,178977.16263040862
2025-01-02,147234.7139765763,110372.81660602878,182117.5465900206
2025-01-03,162953.77076201385,155396.78283543285,179785.0237722951
2025-01-04,180460.5971281605,128225.41361888329,151835.61897835287
2025-01-05,145316.93250553327,130339.29321300726,173285.99660996615
2025-01-06,145317.2608610164,142747.85961861804,178011.08651320255
2025-01-07,181584.25631014782,134197.89036274303,170157.92627197472
2025-01-08,165348.69458305818,147156.4594104384,124097.49151583614
2025-01-09,140610.51228130097,135168.23497363285,173530.77172741655
2025-01-10,160851.20087171928,118976.12725647211,218675.68286673934
2025-01-11,140731.64614375075,136507.06345370982,162079.1360873464
2025-01-12,140685.40492859486,109412.92826822809,153982.30384718295
2025-01-13,154839.24543132068,131954.0747039774,178213.66831365076
2025-01-14,111734.39510684405,129401.86016839971,176872.32063026458
2025-01-15,115501.64334973934,126253.89656909429,196240.1736391611
2025-01-16,138754.24941518056,127686.32479409924,142326.90057000448
2025-01-17,129743.37759331152,96126.7171810425,186090.36555664983
2025-01-18,156284.94665190548,120122.95166066269,182989.2853475322
2025-01-19,131839.51848957577,131671.20822054005,166872.776187308
2025-01-20,121753.92597329417,132877.4150559532,177451.12099427718
2025-01-21,179312.9753784311,111501.84746333276,192648.06459516386
2025-01-22,145484.4739902693,152782.7411355646,189190.9383606259
2025-01-23,151350.56409375847,114408.85273213898,144853.57513437798
2025-01-24,121505.03627573086,147450.22960948126,188043.48010862066
2025-01-25,139112.34550949634,137689.49851369034,168576.8506892846
2025-01-26,152218.45179419732,118367.90842281154,171603.23015634133
2025-01-27,126980.12845155394,161955.59606697122,171610.3338020373
2025-01-28,157513.96036691344,108514.53702838336,166694.6542464383
2025-01-29,137987.2262016239,146544.77512498002,196217.56493635543
2025-01-30,144166.12500413446,148010.48172477362,168158.20488331735
2025-01-31,137965.86775541207,117928.8362366204,145369.9851755703
2025-02-01,187045.56369017877,155064.37540115791,161342.34316866598
2025-02-02,149730.05550524133,125499.16273721885,173931.28376983045
2025-02-03,128845.78142088199,135196.48532703743,197042.72525453512
2025-02-04,166450.8982420638,134685.79309788198,183268.08306887434
2025-02-05,125583.12700057955,127582.44265353015,151288.22386756504
2025-02-06,154177.2719000951,144594.54891687608,224674.17816693563
2025-02-07,110806.59752240448,144282.79696993984,175825.05684151556
2025-02-08,123436.27902203139,98526.42448171275,198058.59623597833
2025-02-09,153937.22471738246,153478.12437180674,166662.28246130096
2025-02-10,164769.3315999082,100075.14421535787,181733.90338351988
2025-02-11,153427.36562379941,148585.83167814984,188468.30709940492
2025-02-12,147687.03435223518,150280.6924628965,196800.28365859363
2025-02-13,143977.9260882142,110362.60425612643,193262.10271832097
2025-02-14,120429.56019265145,122605.34281681747,189188.33400160552
2025-02-15,135603.11583210583,110097.31596725316,163068.09191372962
2025-02-16,140787.22458080424,126131.42145480277,157421.58707696665
2025-02-17,171142.4445243783,124455.38288465666,177317.36522713234
2025-02-18,156872.36579136923,144033.8895808481,190528.81759150352
2025-02-19,114739.19689274533,153585.55743015296,165100.14458291465
2025-02-20,156481.6793878959,155122.3085942192,193433.7832457165
2025-02-21,142298.35439167367,119880.97552159056,201957.56840069595
2025-02-22,136461.55999388083,126234.0062725985,149840.93978038477
2025-02-23,162233.52577681735,99698.11254002289,151587.74451648185
2025-02-24,170619.99044991902,115494.3388030686,166911.7487040826
2025-02-25,168625.60238232397,147367.32939575423,176767.47870016232
2025-02-26,133215.64953554724,159080.49082386817,158459.5256971249
2025-02-27,143815.75248297572,107781.7203061614,199748.4589350772
2025-02-28,156625.26862807127,119335.6433352479,179329.47095340592
2025-03-01,169510.90254244718,129524.69637473932,170867.83506129627
2025-03-02,140416.5152430942,135042.90085875292,138409.9904748924
2025-03-03,146286.82046672367,115427.13664141037,141052.05203859485
2025-03-04,127873.30051987944,137633.09880035362,176182.20350619973
2025-03-05,126075.86751838659,121470.89175272352,123082.8962245936
2025-03-06,166250.51644788397,129739.85912419097,192278.02301216958
2025-03-07,177124.80057141645,139833.11646406658,166520.61542380895
2025-03-08,148559.79756839332,130115.60085659688,241348.0453310841
2025-03-09,170070.65795784048,122145.05397052177,220774.15751355444
2025-03-10,157232.72050095268,128027.02352933504,166008.12047655464
2025-03-11,137097.6049078975,128409.46673430396,167660.58594431108
2025-03-12,157227.91211016828,123339.8014621217,191902.79330804467
2025-03-13,180760.7313293194,125341.67087199216,207469.79741819683
2025-03-14,149283.47921780098,158775.6490690849,133963.36073640763
2025-03-15,181292.87311628013,140096.5500629423,130699.7397621969
2025-03-16,97605.09791820511,124681.35427547511,156315.2342778036
2025-03-17,166438.05008750447,142545.17928119324,182820.22682982503
2025-03-18,151740.94136476342,123991.24918439183,180931.21899116714
2025-03-19,144019.85299068264,151116.24347655955,193534.9720096447
2025-03-20,151835.21553071003,136653.5594595657,143606.6543759632
2025-03-21,110248.62170798215,128068.56140792387,119044.83501468471
2025-03-22,145606.56224324976,138058.904664585,188876.3122966472
2025-03-23,157142.25143023493,101724.22926276701,151779.68199476483
2025-03-24,179557.88089483033,109718.1855596235,125593.26698344997
2025-03-25,139634.59563452704,108509.349884817,173191.4024111064
2025-03-26,133830.12794213626,132572.97570574674,187449.8651408109
2025-03-27,139964.85912830927,161185.26999073164,167314.7430933319
2025-03-28,168308.04235404148,170163.40263146738,159927.33550398523
2025-03-29,156575.0221931937,141484.91982593364,166494.03089279006
2025-03-30,139404.79592465924,139015.20054900023,161847.1792271828
2025-03-31,160265.34866226712,97580.9607852507,140342.96353731633
2025-04-01,151941.55098696082,120231.87160478761,154277.0251062105
2025-04-02,169372.89981065778,115819.8924656517,181468.1579103039
2025-04-03,135958.93812245296,118824.74323147991,177076.927910283
2025-04-04,143446.75706804462,126973.41126547378,173697.31573127004
2025-04-05,142157.83693735686,121502.3696014517,148106.73339922566
2025-04-06,120729.70103735762,94372.60341323582,166006.9304330153
2025-04-07,155922.40554129152,143462.3846101156,122104.56897825719
2025-04-08,155221.1054435978,110690.62553668348,173926.48660547857
2025-04-09,150102.2691328492,134306.4435540007,201434.86957189848
2025-04-10,145308.25733249707,167333.48805549953,137569.09309507368
2025-04-11,121692.58515899171,113451.07735144437,157109.59118700938
2025-04-12,141587.09354469282,84454.82459056607,177240.34913162285
2025-04-13,143145.70966946462,124851.924006158,197562.53795740465
2025-04-14,133954.45461556764,149817.27342997427,160139.05844139672
2025-04-15,146774.28576667982,165250.25417597068,154770.49275615028
2025-04-16,158081.01713629076,107868.10729985649,126683.69086684617
2025-04-17,187723.7180242106,138940.5860182574,172275.63884477835
2025-04-18,153491.55625663677,121624.41177795905,214925.67288316236
2025-04-19,155151.00781445528,128092.92962252555,176101.88616322287
2025-04-20,148511.08168467667,177598.18024630664,169509.8624579583
2025-04-21,111624.57569401918,102946.53408888725,177085.8108368737
2025-04-22,149469.72249101565,134567.31390690233,169755.97591313077
2025-04-23,151204.60419882054,138418.4770917778,152113.68381027714
2025-04-24,199264.84224970572,149544.15384890826,188112.1581449095
2025-04-25,146152.78070437754,131763.69676247612,174966.75350845858
2025-04-26,156030.94684667225,135544.90971107385,170387.49154254046
2025-04-27,149305.76460589512,122950.32578640776,148541.9473998785
2025-04-28,126626.43924760936,134844.28494241193,198677.1745025647
2025-04-29,172856.4562903004,123822.5390410466,184623.46039732842
2025-04-30,165038.66065373548,141188.29401740892,157835.74157791937
2025-05-01,165820.63894086092,123347.01395121458,192040.1467810026
